fold,origin_id,candidate_id,arm,lambda,scaling,macro_f1,brier,log_loss,mae_bp,inner_n
32,decision_close_2025_8,history_lsa|lambda=0.001|scaling=column_standardized,history_lsa,0.001,column_standardized,0.5983640318698433,0.6402485019300096,2.0835593580604184,139.56273945258974,76
32,decision_close_2025_8,history_lsa|lambda=0.01|scaling=column_standardized,history_lsa,0.01,column_standardized,0.6077422811600027,0.5819103406678285,1.1116854957684323,138.1601975859112,76
32,decision_close_2025_8,history_lsa|lambda=0.1|scaling=column_standardized,history_lsa,0.1,column_standardized,0.5696466373554795,0.5372661149312217,0.8991823405774874,122.44517998957329,76
32,decision_close_2025_8,history_lsa|lambda=1|scaling=column_standardized,history_lsa,1.0,column_standardized,0.3640774719673802,0.6064654263401504,0.9918519672163577,116.72875990377749,76
32,decision_close_2025_8,history_lsa|lambda=10|scaling=column_standardized,history_lsa,10.0,column_standardized,0.2222222222222222,0.6973754338778824,1.1564632711746814,126.46073888153394,76
32,decision_close_2025_8,history_qwen_all|lambda=0.001|scaling=fixed,history_qwen_all,0.001,fixed,0.5734113712374582,0.6472896641946261,1.7689525409193743,141.30665160734975,76
32,decision_close_2025_8,history_qwen_all|lambda=0.01|scaling=fixed,history_qwen_all,0.01,fixed,0.5779271708683473,0.609400363228535,1.193535292954647,128.14796582111566,76
32,decision_close_2025_8,history_qwen_all|lambda=0.1|scaling=fixed,history_qwen_all,0.1,fixed,0.5522243713733076,0.5737159161875455,0.9791915329495017,115.6838823695189,76
32,decision_close_2025_8,history_qwen_all|lambda=1|scaling=fixed,history_qwen_all,1.0,fixed,0.2222222222222222,0.6491069867729519,1.0594010963697762,113.02922491193742,76
32,decision_close_2025_8,history_qwen_all|lambda=10|scaling=fixed,history_qwen_all,10.0,fixed,0.2222222222222222,0.706084506453407,1.1747934950929555,126.97384323311798,76
32,decision_close_2025_8,history_qwen_inflation|lambda=0.001|scaling=fixed,history_qwen_inflation,0.001,fixed,0.6098248266168066,0.5940491238747998,1.681348515155697,140.6379404632747,76
32,decision_close_2025_8,history_qwen_inflation|lambda=0.01|scaling=fixed,history_qwen_inflation,0.01,fixed,0.6273807493319689,0.5473563198302156,1.1257205013100433,129.62657389376145,76
32,decision_close_2025_8,history_qwen_inflation|lambda=0.1|scaling=fixed,history_qwen_inflation,0.1,fixed,0.5522243713733076,0.5509815003107238,0.951000920858011,118.10301757239128,76
32,decision_close_2025_8,history_qwen_inflation|lambda=1|scaling=fixed,history_qwen_inflation,1.0,fixed,0.2222222222222222,0.6459425034193712,1.0525750144016157,114.03933214653101,76
32,decision_close_2025_8,history_qwen_inflation|lambda=10|scaling=fixed,history_qwen_inflation,10.0,fixed,0.2222222222222222,0.7062848155633956,1.1756834200557644,127.02198905373297,76
32,decision_close_2025_8,history_qwen_demand|lambda=0.001|scaling=fixed,history_qwen_demand,0.001,fixed,0.610042735042735,0.624264443797032,1.634620693923029,135.0841180932115,76
32,decision_close_2025_8,history_qwen_demand|lambda=0.01|scaling=fixed,history_qwen_demand,0.01,fixed,0.593351225621757,0.5727133675567861,1.1066737068135424,124.6633275560257,76
32,decision_close_2025_8,history_qwen_demand|lambda=0.1|scaling=fixed,history_qwen_demand,0.1,fixed,0.5522243713733076,0.5552771332482087,0.9478127719941271,113.63412916382676,76
32,decision_close_2025_8,history_qwen_demand|lambda=1|scaling=fixed,history_qwen_demand,1.0,fixed,0.2222222222222222,0.647586330439847,1.05377761836621,112.39972866446361,76
32,decision_close_2025_8,history_qwen_demand|lambda=10|scaling=fixed,history_qwen_demand,10.0,fixed,0.2222222222222222,0.7065465277262527,1.1759595313903488,126.96221759618474,76
32,decision_close_2025_8,history_qwen_forward|lambda=0.001|scaling=fixed,history_qwen_forward,0.001,fixed,0.5623798042423721,0.6283401770797549,1.6600765378391964,136.87863170798215,76
32,decision_close_2025_8,history_qwen_forward|lambda=0.01|scaling=fixed,history_qwen_forward,0.01,fixed,0.5676788589832068,0.586016363508169,1.1504985591230088,128.31414989921197,76
32,decision_close_2025_8,history_qwen_forward|lambda=0.1|scaling=fixed,history_qwen_forward,0.1,fixed,0.5389737563650606,0.56418562360439,0.9586888670019126,117.30459173686236,76
32,decision_close_2025_8,history_qwen_forward|lambda=1|scaling=fixed,history_qwen_forward,1.0,fixed,0.2222222222222222,0.6473654147904497,1.0510193987433003,113.10952971797923,76
32,decision_close_2025_8,history_qwen_forward|lambda=10|scaling=fixed,history_qwen_forward,10.0,fixed,0.2222222222222222,0.7063659246565369,1.1752208366954464,127.06419012136841,76
32,decision_close_2025_8,history_qwen_scores_only|lambda=0.001|scaling=fixed,history_qwen_scores_only,0.001,fixed,0.5805555555555556,0.6150529552002526,1.591928797218399,141.21482003457393,76
32,decision_close_2025_8,history_qwen_scores_only|lambda=0.01|scaling=fixed,history_qwen_scores_only,0.01,fixed,0.5665445665445666,0.5907385526639899,1.1214571860086768,128.68357210539926,76
32,decision_close_2025_8,history_qwen_scores_only|lambda=0.1|scaling=fixed,history_qwen_scores_only,0.1,fixed,0.5402777777777777,0.5549872931569277,0.940248668714501,115.83038039921117,76
32,decision_close_2025_8,history_qwen_scores_only|lambda=1|scaling=fixed,history_qwen_scores_only,1.0,fixed,0.2222222222222222,0.6496241257674823,1.0528892048965077,111.9964764369313,76
32,decision_close_2025_8,history_qwen_scores_only|lambda=10|scaling=fixed,history_qwen_scores_only,10.0,fixed,0.2222222222222222,0.7068576774204527,1.1762273012779825,126.5366687350349,76
32,decision_close_2025_8,history_qwen_missing_only|lambda=0.001|scaling=fixed,history_qwen_missing_only,0.001,fixed,0.6098248266168066,0.6070754994989045,1.554624889219779,136.80459608850998,76
32,decision_close_2025_8,history_qwen_missing_only|lambda=0.01|scaling=fixed,history_qwen_missing_only,0.01,fixed,0.593351225621757,0.561712723707871,1.1033227947201976,127.94191528144798,76
32,decision_close_2025_8,history_qwen_missing_only|lambda=0.1|scaling=fixed,history_qwen_missing_only,0.1,fixed,0.5522243713733076,0.5594618298095182,0.9608823517749893,116.97296105513281,76
32,decision_close_2025_8,history_qwen_missing_only|lambda=1|scaling=fixed,history_qwen_missing_only,1.0,fixed,0.2222222222222222,0.6464796978817536,1.0565730470701948,113.95470421578,76
32,decision_close_2025_8,history_qwen_missing_only|lambda=10|scaling=fixed,history_qwen_missing_only,10.0,fixed,0.2222222222222222,0.7058310417043848,1.1747313768566368,127.4720838523895,76
32,decision_close_2025_8,proxy_market|lambda=0.001|scaling=fixed,proxy_market,0.001,fixed,0.5755727523253832,0.6833884619701179,2.453412314936707,158.7108450076081,76
32,decision_close_2025_8,proxy_market|lambda=0.01|scaling=fixed,proxy_market,0.01,fixed,0.6004732004732004,0.6058631230550497,1.3280936926099896,145.2793467342157,76
32,decision_close_2025_8,proxy_market|lambda=0.1|scaling=fixed,proxy_market,0.1,fixed,0.6382540933368356,0.5406829411192364,0.9732873211690376,124.14449341171246,76
32,decision_close_2025_8,proxy_market|lambda=1|scaling=fixed,proxy_market,1.0,fixed,0.40212084833933576,0.6184517884879723,1.0160188796089458,121.30309150235497,76
32,decision_close_2025_8,proxy_market|lambda=10|scaling=fixed,proxy_market,10.0,fixed,0.2222222222222222,0.6914977645064342,1.150701654137119,130.8177269082233,76
32,decision_close_2025_8,proxy_market_lsa|lambda=0.001|scaling=row_only,proxy_market_lsa,0.001,row_only,0.5994173521347435,0.6315835493321259,2.348908077473682,155.5618013386429,76
32,decision_close_2025_8,proxy_market_lsa|lambda=0.01|scaling=row_only,proxy_market_lsa,0.01,row_only,0.6216877318744891,0.5896317178577124,1.2953574508361434,141.6945402403604,76
32,decision_close_2025_8,proxy_market_lsa|lambda=0.1|scaling=row_only,proxy_market_lsa,0.1,row_only,0.6261930010604454,0.5377436716504683,0.9669760799800137,123.16229483841823,76
32,decision_close_2025_8,proxy_market_lsa|lambda=1|scaling=row_only,proxy_market_lsa,1.0,row_only,0.40212084833933576,0.6163559211732806,1.0131257680030898,121.34592246435194,76
32,decision_close_2025_8,proxy_market_lsa|lambda=10|scaling=row_only,proxy_market_lsa,10.0,row_only,0.2222222222222222,0.6909778676992536,1.1497058919695633,130.8449364623814,76
32,decision_close_2025_8,proxy_market_lsa|lambda=0.001|scaling=column_standardized,proxy_market_lsa,0.001,column_standardized,0.6478128339648305,0.638083847684569,2.340852323035992,160.4099027445777,76
32,decision_close_2025_8,proxy_market_lsa|lambda=0.01|scaling=column_standardized,proxy_market_lsa,0.01,column_standardized,0.688106288106288,0.5531662629046599,1.223533187843738,142.484388515646,76
32,decision_close_2025_8,proxy_market_lsa|lambda=0.1|scaling=column_standardized,proxy_market_lsa,0.1,column_standardized,0.6239316239316239,0.5195633299166382,0.928975642957087,119.34350881098548,76
32,decision_close_2025_8,proxy_market_lsa|lambda=1|scaling=column_standardized,proxy_market_lsa,1.0,column_standardized,0.47632718159033943,0.5931715792595069,0.9794749454009489,120.0092935143055,76
32,decision_close_2025_8,proxy_market_lsa|lambda=10|scaling=column_standardized,proxy_market_lsa,10.0,column_standardized,0.2222222222222222,0.6838884709654516,1.1346858292216242,129.52000313480553,76
32,decision_close_2025_8,history_transformer|lambda=0.001|scaling=fixed,history_transformer,0.001,fixed,0.592833377112337,0.6840529885657982,2.353861953216636,133.20797344896712,76
32,decision_close_2025_8,history_transformer|lambda=0.01|scaling=fixed,history_transformer,0.01,fixed,0.592833377112337,0.6584737668405989,1.7837765027641619,130.27920476871662,76
